"","spotify_id","name","artists","daily_rank","daily_movement","weekly_movement","country","snapshot_date","popularity","is_explicit","duration_ms","album_name","album_release_date","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","time_signature"
"376127","2irQkcW7o3v0tZoGZrtUsO","Favourite Girl (with Rema)","Darkoo, Rema",43,0,7,"NG","2025-02-19",64,"False",184800,"Favourite Girl (with Rema)","2024-08-08",0.455,0.812,8,-3.455,1,0.211,0.372,0,0.199,0.823,100.049,4
"346443","7AlwfbJ4nhr7JnYwoSgAkM","KSN","Yzomandias, P T K",7,-1,5,"SK","2025-02-27",57,"True",181714,"Painkillers","2024-11-22",0.868,0.807,11,-6.099,0,0.464,0.178,0,0.104,0.422,140.056,4
"682170","1aKvZDoLGkNMxoRYgkckZG","Magnetic","ILLIT",34,-2,4,"SG","2024-11-16",83,"False",160688,"SUPER REAL ME","2024-03-25",0.797,0.668,6,-5.819,1,0.0687,0.257,0,0.0876,0.69,131.067,4
"1500353","2bqS0QtnXGjOYs3z6VtSyW","Контракт","Poshlaya Molly",40,-2,1,"BY","2024-04-04",60,"False",204756,"Контракт","2021-03-12",0.682,0.806,0,-6.184,1,0.0418,0.000461,0,0.217,0.872,109.972,4
"192241","5Wxkvvb6pLky16pwq4gBI3","Dealer","Ayo Maff, Fireboy DML",32,-5,-6,"NG","2025-04-11",71,"False",180594,"Dealer","2024-04-16",0.49,0.651,11,-6.259,1,0.138,0.714,7.59e-06,0.108,0.567,67.813,5
"1320886","7K3BhSpAxZBznislvUMVtn","Last Night","Morgan Wallen",23,3,7,"CA","2024-05-25",85,"True",163854,"One Thing At A Time","2023-03-03",0.492,0.673,6,-5.431,1,0.0347,0.413,0,0.137,0.488,203.812,4
"1947648","0p0cOpBujR114Wirv5AM7W","Narcotics (with Bryant Myers)","Dei V, Bryant Myers",15,0,-1,"PA","2023-12-01",83,"True",173991,"Narcotics (with Bryant Myers)","2023-09-14",0.711,0.718,1,-5.671,1,0.0994,0.379,0,0.119,0.689,159.953,4
"367457","2plbrEY59IikOBgBGLjaoe","Die With A Smile","Lady Gaga, Bruno Mars",23,-4,2,"AR","2025-02-22",97,"False",251667,"Die With A Smile","2024-08-16",0.521,0.592,6,-7.777,0,0.0304,0.308,0,0.122,0.535,157.969,3
"1765482","5dVJTSZhL2n81ZkT4PZu0x","Jinja","Olamide",23,1,-1,"NG","2024-01-20",71,"False",155019,"Unruly","2023-08-08",0.898,0.735,4,-7.374,0,0.109,0.113,0.00592,0.173,0.403,95.992,4
"788656","1CDQzbCz4KSQxHe7LMEgRM","Houdini","Eminem",36,2,-2,"AT","2024-10-18",80,"True",227032,"The Death of Slim Shady (Coup De Grâce)","2024-07-12",0.936,0.878,9,-2.798,0,0.0723,0.0283,2.31e-06,0.0689,0.902,126.992,4
